,Symbol,Accuracy,Precision,Recall,ROC Score
176,COFORGE,0.96,0.89,0.98,0.97
177,HUDCO,0.93,0.84,1.0,0.95
178,NIACL,0.97,0.95,0.93,0.95
179,PAGEIND,0.95,0.69,0.9,0.93
180,KALYANKJIL,0.83,0.78,0.8,0.82
181,GUJGASLTD,0.95,0.82,0.95,0.95
182,IRB,0.9,0.82,0.79,0.87
183,APLAPOLLO,0.99,0.97,0.97,0.98
184,AUBANK,0.97,0.79,1.0,0.98
185,FLUOROCHEM,0.96,0.93,0.91,0.94
186,DALBHARAT,0.86,0.5,0.55,0.73
187,FEDERALBNK,0.95,0.74,0.97,0.96
188,DIXON,0.96,0.94,0.97,0.96
189,POONAWALLA,0.95,0.79,0.81,0.89
190,MEDANTA,0.91,0.77,0.93,0.91
191,GLAXO,0.93,0.83,0.9,0.92
192,UPL,0.95,0.74,0.92,0.94
193,AIAENG,0.94,0.7,0.97,0.95
194,VOLTAS,0.91,0.78,0.97,0.93
195,SONACOMS,0.73,0.47,0.55,0.67
196,M&MFIN,0.97,0.89,0.94,0.96
197,NLCINDIA,0.95,0.93,0.91,0.94
198,LICHSGFIN,0.97,0.89,1.0,0.98
199,UNOMINDA,0.9,0.8,0.86,0.89
200,3MINDIA,0.93,0.78,0.83,0.89
201,DELHIVERY,0.87,0.56,0.58,0.75
202,HONAUT,0.97,0.79,1.0,0.98
203,CRISIL,0.98,0.96,0.89,0.94
204,APOLLOTYRE,0.94,0.96,0.71,0.85
205,BIOCON,0.96,0.89,0.94,0.95
206,MFSL,0.97,0.82,1.0,0.98
207,FORTIS,0.83,0.53,0.92,0.87
208,COROMANDEL,0.96,0.84,0.95,0.95
209,STARHEALTH,0.91,0.5,0.72,0.83
210,ESCORTS,0.96,0.87,0.98,0.97
211,JKCEMENT,0.94,0.86,0.8,0.89
212,BANDHANBNK,0.94,0.78,0.95,0.94
213,JUBLFOOD,0.97,0.81,0.96,0.96
214,BSE,0.95,0.84,1.0,0.96
215,GLAND,0.89,0.56,0.77,0.84
216,MSUMI,0.93,0.73,0.7,0.83
217,DEEPAKNTR,0.95,0.86,0.88,0.92
218,IGL,0.85,0.52,0.64,0.76
219,NAM-INDIA,0.88,0.74,0.76,0.84
220,KIOCL,0.95,0.93,0.84,0.91
221,BDL,0.91,0.85,0.87,0.9
222,ITI,0.95,0.88,0.86,0.92
223,SYNGENE,0.94,0.76,0.86,0.91
224,KEI,0.93,0.91,0.85,0.91
225,METROBRAND,0.91,0.64,0.62,0.78
226,IPCALAB,0.95,0.85,0.93,0.94
227,NATIONALUM,0.94,0.87,0.97,0.95
228,ZFCVINDIA,0.9,0.67,0.67,0.81
229,EXIDEIND,0.94,0.86,0.9,0.93
230,LLOYDSME,0.85,0.68,0.59,0.75
231,TATAINVEST,0.97,0.95,0.89,0.94
232,NH,0.98,0.89,0.93,0.95
233,ANGELONE,0.83,0.68,0.63,0.76
234,GODREJIND,0.95,0.9,0.93,0.94
235,AJANTPHARM,0.95,0.94,0.88,0.93
236,MOTILALOFS,0.89,0.88,0.83,0.88
237,BAYERCROP,0.86,0.64,0.74,0.82
238,ISEC,0.95,0.71,1.0,0.97
239,JBCHEPHARM,0.95,0.79,0.97,0.96
240,EIHOTEL,0.93,0.89,0.84,0.9
241,360ONE,0.86,0.77,0.82,0.85
242,BLUESTARCO,0.96,0.98,0.89,0.94
243,ENDURANCE,0.9,0.73,0.94,0.92
244,KPRMILL,0.94,0.73,0.94,0.94
245,POWERINDIA,0.89,0.82,0.99,0.9
246,HATSUN,0.96,0.91,0.85,0.92
247,HINDCOPPER,0.9,0.89,0.8,0.88
248,CREDITACC,0.98,1.0,0.77,0.89
249,AARTIIND,0.96,0.84,0.98,0.96
250,KANSAINER,0.98,0.79,0.94,0.96
251,NBCC,0.91,0.8,0.99,0.93
252,TATACHEM,0.97,0.85,1.0,0.98
253,APARINDS,0.97,0.92,0.98,0.97
254,SUNTV,0.97,0.88,0.94,0.96
255,GRINDWELL,0.81,0.47,0.75,0.79
256,JBMA,0.94,0.94,0.84,0.91
257,ASTERDM,0.93,0.86,0.78,0.87
258,NESTLEIND,0.98,1.0,0.69,0.84
259,MANYAVAR,0.92,0.76,0.78,0.87
260,BSOFT,0.97,0.88,0.98,0.97
261,CYIENT,0.97,0.92,0.92,0.95
262,RADICO,0.96,0.91,0.91,0.94
263,SUNDRMFAST,0.94,0.68,0.83,0.89
264,GLENMARK,0.93,0.8,0.98,0.94
265,SONATSOFTW,0.96,0.96,0.89,0.94
266,BRIGADE,0.89,0.73,1.0,0.93
267,ABFRL,0.93,0.81,0.95,0.93
268,FIVESTAR,0.88,0.64,0.78,0.84
269,SKFINDIA,1.0,0.97,1.0,1.0
270,TRIDENT,1.0,0.96,1.0,1.0
271,IIFL,0.94,0.93,0.81,0.89
272,GILLETTE,0.88,0.62,0.97,0.92
273,IRCON,0.96,0.96,0.89,0.94
274,TIMKEN,0.96,0.86,0.96,0.96
275,LAURUSLABS,0.98,0.96,0.93,0.96
276,RELAXO,0.99,0.86,0.75,0.87
277,GSPL,0.94,0.85,0.93,0.93
278,RATNAMANI,0.96,0.81,0.97,0.96
279,CARBORUNIV,0.99,0.97,0.97,0.98
280,PFIZER,0.92,0.7,0.94,0.93
281,PAYTM,0.77,0.78,0.62,0.75
282,ELGIEQUIP,0.97,0.94,0.94,0.96
283,RAMCOCEM,0.97,0.72,0.87,0.92
284,CHOLAHLDNG,0.94,0.85,0.97,0.95
285,SANOFI,0.95,0.81,0.91,0.93
286,LALPATHLAB,0.96,0.81,1.0,0.98
287,PNBHOUSING,0.53,0.24,0.42,0.49
288,PEL,0.94,0.84,0.88,0.92
289,EMAMILTD,0.82,0.53,0.76,0.8
290,KAJARIACER,0.97,0.89,0.98,0.97
291,APLLTD,0.97,0.89,1.0,0.98
292,CASTROLIND,0.96,0.9,0.95,0.95
293,CDSL,0.89,0.71,0.96,0.92
294,CGCL,0.77,0.37,0.8,0.78
295,SWANENERGY,0.91,0.8,0.96,0.92
296,NSLNISP,0.78,0.48,0.83,0.8
297,SIGNATURE,0.7,0.48,0.23,0.56
298,SUMICHEM,0.94,0.83,0.87,0.92
299,ATUL,0.95,0.73,0.92,0.94
300,INOXWIND,0.85,0.77,0.97,0.86
301,SHYAMMETL,0.8,0.64,0.84,0.81
302,RITES,0.94,0.86,0.95,0.94
303,CIEINDIA,0.89,0.63,0.73,0.82
304,DEVYANI,0.87,0.67,0.71,0.81
305,CROMPTON,0.94,0.81,0.93,0.94
306,BATAINDIA,0.98,0.81,0.93,0.96
307,TTML,0.9,0.6,0.94,0.91
308,ZEEL,0.97,0.89,0.98,0.97
309,PPLPHARMA,0.9,0.83,0.71,0.83
310,APTUS,0.89,0.71,0.76,0.84
311,KIMS,0.91,0.62,0.93,0.92
312,KAYNES,0.71,0.57,0.76,0.73
313,KEC,0.94,0.93,0.86,0.92
314,CESC,0.9,0.75,0.95,0.91
315,MCX,0.88,0.74,0.98,0.91
316,CHALET,0.95,0.85,0.96,0.95
317,VINATIORGA,0.98,0.9,1.0,0.99
318,JYOTHYLAB,0.95,0.89,0.92,0.94
319,TVSHLTD,0.87,0.83,0.78,0.85
320,WHIRLPOOL,0.87,0.72,0.82,0.85
321,SUVENPHAR,0.84,0.65,0.93,0.87
322,CENTURYPLY,0.97,0.88,0.94,0.96
323,RRKABEL,0.89,0.25,0.05,0.52
324,AFFLE,0.91,0.75,0.96,0.93
325,OLECTRA,0.86,0.7,0.84,0.85
326,JINDALSAW,0.95,1.0,0.8,0.9
327,INDIAMART,0.81,0.43,0.81,0.81
328,CENTURYTEX,0.94,0.86,0.97,0.95
329,NATCOPHARM,0.94,0.8,0.96,0.94
330,HSCL,0.94,0.87,1.0,0.95
331,J&KBANK,0.97,0.9,0.9,0.94
332,MANAPPURAM,0.96,0.85,0.98,0.96
333,REDINGTON,0.98,0.92,0.97,0.98
334,KPIL,0.57,0.41,1.0,0.69
335,RBLBANK,0.96,0.92,0.88,0.93
336,JAIBALAJI,0.96,0.94,0.96,0.96
337,NAVINFLUOR,0.98,0.83,0.95,0.96
338,HBLPOWER,0.94,0.98,0.82,0.91
339,DCMSHRIRAM,0.95,0.79,0.9,0.93
340,FINCABLES,0.98,0.95,0.92,0.95
341,JWL,0.83,0.7,0.76,0.81
342,CHAMBLFERT,0.98,0.94,0.98,0.98
343,LAXMIMACH,0.98,0.93,0.98,0.98
344,KARURVYSYA,0.96,0.87,0.95,0.96
345,BLS,0.94,0.85,1.0,0.96
346,ANANDRATHI,0.83,0.62,0.64,0.76
347,MGL,0.94,0.84,0.98,0.95
348,WELSPUNLIV,0.84,0.63,0.7,0.79
349,NUVAMA,0.78,1.0,0.13,0.57
350,CLEAN,0.88,0.59,0.77,0.84
351,ARE&M,0.28,0.28,1.0,0.5
352,WELCORP,0.97,0.92,0.96,0.97
353,POLYMED,0.98,0.93,0.98,0.98
354,CONCORDBIO,0.64,0.42,0.86,0.71
355,ALOKINDS,0.58,0.28,0.67,0.62
356,TRITURBINE,0.96,0.94,0.89,0.94
357,BASF,0.96,0.95,0.93,0.95
358,CHENNPETRO,0.93,0.89,0.86,0.91
359,HFCL,0.9,0.81,0.97,0.92
360,BLUEDART,0.94,0.75,1.0,0.97
361,JPPOWER,0.95,0.95,0.9,0.94
362,HONASA,0.72,0.2,0.09,0.49
363,CAMS,0.76,0.49,0.72,0.75
364,NCC,0.94,0.85,0.96,0.95
365,FSL,0.93,0.87,0.92,0.93
366,SCHNEIDER,0.95,0.99,0.89,0.94
367,ASTRAZEN,0.95,0.85,0.96,0.95
368,VGUARD,0.92,0.85,0.71,0.84
369,ACE,0.94,0.83,0.98,0.95
370,RHIM,0.89,0.72,0.72,0.83
371,ABSLAMC,0.88,0.78,0.72,0.83
372,KSB,0.88,0.65,0.72,0.82
373,GESHIP,0.93,0.79,0.96,0.94
374,FINPIPE,0.97,0.94,0.94,0.96
375,SWSOLAR,0.94,0.87,0.94,0.94
376,TANLA,0.94,0.74,0.91,0.92
377,BIKAJI,0.85,0.58,0.9,0.87
378,DBREALTY,0.89,0.69,0.94,0.91
379,GODFRYPHLP,0.9,0.84,0.95,0.91
380,RKFORGE,0.99,0.96,0.98,0.98
381,PVRINOX,0.93,0.59,0.72,0.84
382,GMDCLTD,0.98,0.98,0.91,0.95
383,SOBHA,0.95,0.93,0.92,0.94
384,AMBER,0.92,0.86,0.89,0.91
385,ASAHIINDIA,0.96,0.8,1.0,0.97
386,FINEORG,0.95,0.8,0.88,0.92
387,JKTYRE,0.96,0.94,0.85,0.92
388,IFCI,0.93,0.86,0.99,0.94
389,BEML,0.94,0.93,0.9,0.93
390,IEX,0.98,0.98,0.94,0.97
391,BIRLACORPN,0.97,0.93,0.86,0.93
392,RAINBOW,0.88,0.71,0.77,0.84
393,TITAGARH,0.86,0.75,0.75,0.83
394,AKZOINDIA,0.93,0.74,1.0,0.95
395,HAPPSTMNDS,0.97,0.88,0.75,0.87
396,WESTLIFE,0.96,0.85,0.85,0.91
397,TEJASNET,0.97,0.91,0.93,0.95
398,VTL,0.95,0.73,0.96,0.95
399,KIRLOSENG,0.94,0.89,0.96,0.95
400,MAHSEAMLES,0.99,0.96,0.93,0.96
401,INTELLECT,0.96,0.83,1.0,0.97
402,RAILTEL,0.8,0.75,0.63,0.76
403,ENGINERSIN,0.77,0.64,0.7,0.75
404,PTCIL,0.79,0.59,0.81,0.8
405,BBTC,0.91,0.8,0.95,0.92
406,MMTC,0.94,0.98,0.84,0.92
407,ZENSARTECH,0.93,0.89,0.8,0.88
408,NUVOCO,0.87,0.41,0.67,0.78
409,SPLPETRO,0.53,0.34,0.77,0.6
410,SFL,0.98,0.8,0.86,0.92
411,BAJAJELEC,0.99,0.94,0.89,0.94
412,NETWORK18,0.98,0.93,0.95,0.97
413,ANANTRAJ,0.91,0.99,0.8,0.89
414,GRINFRA,0.86,0.64,0.69,0.8
415,CAPLIPOINT,0.96,0.89,0.98,0.97
416,ERIS,0.95,0.8,1.0,0.97
417,RTNINDIA,0.63,0.41,0.43,0.57
418,UTIAMC,0.87,0.68,0.8,0.85
419,PCBL,0.83,0.72,0.82,0.82
420,EQUITASBNK,0.9,0.65,0.73,0.83
421,ELECON,0.94,0.84,0.96,0.95
422,AETHER,0.93,0.71,0.83,0.89
423,RAYMOND,0.92,0.87,0.85,0.9
424,SPARC,0.97,0.95,0.89,0.94
425,CEATLTD,0.82,0.59,0.8,0.81
426,ECLERX,0.9,0.66,1.0,0.94
427,COCHINSHIP,0.92,0.86,0.93,0.93
428,AAVAS,0.95,0.82,0.87,0.92
429,ALKYLAMINE,0.88,0.67,0.74,0.83
430,UJJIVANSFB,0.95,0.71,0.79,0.88
431,LEMONTREE,0.97,0.92,0.9,0.94
432,ELECTCAST,0.92,0.96,0.77,0.88
433,CANFINHOME,0.97,0.89,0.91,0.95
434,KFINTECH,0.74,0.59,0.8,0.75
435,NEWGEN,0.96,0.94,0.94,0.96
436,LATENTVIEW,0.93,0.77,0.75,0.86
437,JKLAKSHMI,0.94,0.83,0.77,0.87
438,GLS,0.8,0.69,0.63,0.75
439,GRAPHITE,0.96,0.88,0.95,0.96
440,SCI,0.97,0.97,0.93,0.96
441,RATEGAIN,0.82,0.52,0.6,0.73
442,INGERRAND,0.95,0.88,0.92,0.94
443,PNCINFRA,0.96,0.87,0.93,0.95
444,GPIL,0.85,0.67,0.83,0.85
445,TTKPRESTIG,0.98,0.9,0.93,0.96
446,GRANULES,0.91,0.74,0.98,0.94
447,EIDPARRY,0.97,1.0,0.85,0.92
448,DATAPATTNS,0.86,0.77,0.73,0.82
449,MAPMYINDIA,0.87,0.54,0.73,0.81
450,RPOWER,0.96,0.92,0.94,0.95
451,CUB,0.96,0.85,0.9,0.94
452,RENUKA,0.94,0.76,0.94,0.94
453,ZYDUSWELL,0.96,0.82,0.97,0.96
454,ROUTE,0.91,0.58,0.64,0.79
455,SAFARI,0.96,0.85,0.95,0.96
456,JMFINANCIL,0.94,0.87,0.96,0.94
457,GODREJAGRO,0.96,0.92,0.88,0.93
458,USHAMART,0.91,0.81,0.87,0.9
459,ANURAS,0.91,0.46,0.69,0.81
460,JUBLPHARMA,0.87,0.74,0.88,0.88
