,Symbol,Accuracy,Precision,Recall,ROC Score
477,CRAFTSMAN,0.88,0.72,0.8,0.85
478,GALAXYSURF,0.97,0.88,0.97,0.97
479,REDTAPE,0.39,0.35,1.0,0.55
480,SYRMA,0.91,0.75,0.78,0.86
481,MAHLIFE,0.95,0.86,0.97,0.96
482,PRSMJOHNSN,0.96,0.88,0.88,0.93
483,MASTEK,0.95,0.87,0.98,0.96
484,NEULANDLAB,0.93,0.92,0.93,0.93
485,CCL,0.97,0.67,1.0,0.99
486,METROPOLIS,0.87,0.71,0.84,0.86
487,TEGA,0.9,0.92,0.88,0.9
488,EASEMYTRIP,0.84,0.48,0.61,0.75
489,STARCEMENT,0.98,0.92,1.0,0.99
490,SAPPHIRE,0.92,0.78,0.78,0.86
491,PGHL,0.98,0.67,1.0,0.99
492,MAHSCOOTER,0.98,0.95,0.97,0.98
493,KTKBANK,1.0,1.0,1.0,1.0
494,GENUSPOWER,0.97,0.98,0.95,0.97
495,POWERMECH,0.98,0.96,0.98,0.98
496,GAEL,0.96,0.83,0.96,0.96
497,TECHNOE,0.56,0.44,0.69,0.59
498,RCF,0.95,0.91,0.97,0.95
499,EMIL,0.8,0.67,0.24,0.6
500,ESABINDIA,0.97,0.9,1.0,0.98
501,HOMEFIRST,0.93,0.82,0.84,0.9
502,JLHL,0.41,0.31,1.0,0.6
503,MHRIL,0.98,1.0,0.91,0.96
504,RESPONIND,0.97,0.88,0.96,0.97
505,MANINFRA,0.96,0.89,0.94,0.95
506,TVSSCS,0.81,0.0,0.0,0.5
507,SHOPERSTOP,0.98,0.96,0.93,0.96
508,NETWEB,0.51,0.51,1.0,0.5
509,SARDAEN,0.97,0.93,0.98,0.97
510,SANDUMA,0.42,0.42,1.0,0.5
511,THOMASCOOK,0.91,0.82,1.0,0.92
512,ARVIND,0.89,0.85,0.91,0.89
513,MIDHANI,0.97,0.98,0.93,0.96
514,VAIBHAVGBL,0.95,0.86,0.89,0.93
515,ACI,0.74,0.53,0.89,0.78
516,RELIGARE,0.92,0.81,0.81,0.88
517,KRBL,0.95,0.78,0.96,0.95
518,VARROC,0.94,0.84,0.91,0.93
519,SHRIPISTON,0.64,0.39,0.22,0.53
520,KNRCON,0.98,0.93,1.0,0.99
521,JUBLINGREA,0.89,0.81,0.86,0.88
522,MEDPLUS,0.96,0.58,0.88,0.92
523,VIPIND,0.99,1.0,0.89,0.94
524,RUSTOMJEE,0.84,0.67,0.91,0.86
525,SAREGAMA,0.98,1.0,0.94,0.97
526,BALRAMCHIN,0.95,0.83,0.97,0.96
527,PDSL,0.83,0.52,0.78,0.81
528,HMT,0.96,0.93,0.99,0.96
529,STAR,0.93,0.91,0.92,0.93
530,TMB,0.95,0.67,0.4,0.69
531,TEXRAIL,0.97,0.99,0.96,0.97
532,FDC,0.95,0.91,0.93,0.95
533,VOLTAMP,0.94,0.95,0.93,0.94
534,TRIVENI,0.96,0.94,0.88,0.93
535,MARKSANS,0.95,0.96,0.88,0.93
536,VESUVIUS,0.94,0.83,0.94,0.94
537,CAMPUS,0.83,0.5,0.58,0.73
538,QUESS,0.93,0.81,1.0,0.95
539,INDIACEM,0.93,0.9,0.84,0.9
540,JUSTDIAL,0.97,0.95,0.98,0.98
541,IWEL,0.89,0.95,0.82,0.89
542,BALAMINES,0.98,0.95,0.97,0.98
543,SOUTHBANK,0.97,0.89,0.97,0.97
544,KIRLOSBROS,0.98,0.97,0.99,0.98
545,INDIGOPNTS,0.78,0.19,0.31,0.57
546,CHEMPLASTS,0.9,0.72,0.79,0.86
547,LXCHEM,0.83,0.53,0.67,0.77
548,IONEXCHANG,0.89,0.76,0.78,0.85
549,NAVA,0.89,0.81,0.86,0.88
550,BORORENEW,0.92,0.84,0.88,0.91
551,GARFIBRES,0.85,0.61,0.59,0.75
552,SPANDANA,0.99,0.9,1.0,0.99
553,AVANTIFEED,0.94,0.88,0.96,0.95
554,SURYAROSNI,0.93,0.94,0.87,0.92
555,ZENTEC,0.94,0.93,0.94,0.94
556,JINDWORLD,0.93,0.9,0.9,0.92
557,EDELWEISS,0.95,0.86,0.91,0.94
558,JSWHL,0.92,0.87,0.9,0.92
559,SHAREINDIA,0.87,0.45,0.53,0.72
560,SUNTECK,0.97,0.92,0.98,0.97
561,TCI,0.94,0.74,0.96,0.95
562,AHLUCONT,0.32,0.08,0.17,0.27
563,MSTCLTD,0.95,0.95,0.94,0.95
564,GREENLAM,0.99,0.93,1.0,0.99
565,PRINCEPIPE,0.96,0.9,0.9,0.94
566,HCC,0.95,0.91,0.98,0.96
567,DBL,0.98,0.96,0.98,0.98
568,JKPAPER,0.94,0.86,0.98,0.95
569,SIS,0.97,0.86,0.9,0.94
570,HEG,0.98,0.96,0.98,0.98
571,PARADEEP,0.85,0.71,0.79,0.83
572,CSBBANK,0.95,0.91,0.81,0.9
573,ISGEC,0.79,0.74,0.84,0.8
574,GRAVITA,0.95,0.88,0.98,0.96
575,GOCOLORS,0.92,0.74,0.85,0.89
576,IBREALEST,0.95,0.97,0.92,0.95
577,VIJAYA,0.71,0.46,0.45,0.63
578,DEEPAKFERT,0.93,0.82,1.0,0.94
579,WOCKPHARMA,0.96,0.95,0.95,0.96
580,GANESHHOUC,0.94,0.93,0.94,0.94
581,HEMIPROP,0.8,0.7,0.82,0.8
582,NIITMTS,0.74,0.57,0.96,0.8
583,SYMPHONY,0.93,0.8,0.94,0.94
584,LTFOODS,0.71,0.51,0.84,0.75
585,GMMPFAUDLR,0.97,0.94,0.94,0.96
586,NAZARA,0.94,0.9,0.92,0.93
587,ARVINDFASN,0.93,0.87,0.94,0.94
588,UTKARSHBNK,0.75,0.46,0.85,0.78
589,CYIENTDLM,0.74,0.49,0.82,0.77
590,NESCO,0.95,0.78,0.96,0.95
591,ITDCEM,0.85,0.78,0.96,0.86
592,SINDHUTRAD,0.81,0.63,0.63,0.75
593,EPL,0.92,0.82,0.69,0.83
594,JAICORPLTD,0.93,0.88,0.9,0.92
595,RAIN,0.93,0.83,0.93,0.93
596,TIPSINDLTD,0.95,0.88,0.98,0.95
597,ASTRAMICRO,0.97,0.96,0.96,0.97
598,PAISALO,0.89,0.87,0.92,0.9
599,JAYNECOIND,0.93,0.79,0.94,0.93
600,BECTORFOOD,0.84,0.73,0.7,0.8
601,SENCO,0.83,0.77,0.71,0.8
602,HNDFDS,0.91,0.83,0.45,0.72
603,DODLA,0.88,0.82,0.9,0.88
604,MOIL,0.92,0.9,0.9,0.92
605,ITDC,0.94,0.91,0.95,0.94
606,GUJALKALI,0.78,0.4,0.68,0.74
607,HGINFRA,0.95,0.93,0.93,0.94
608,PTC,0.93,0.86,0.98,0.94
609,ETHOSLTD,0.77,0.63,0.98,0.8
610,MTARTECH,0.9,0.72,0.79,0.86
611,RTNPOWER,0.96,0.94,0.94,0.96
612,ROLEXRINGS,0.88,0.69,0.73,0.82
613,CMSINFO,0.84,0.71,0.85,0.84
614,LLOYDSENGG,0.79,0.79,0.79,0.78
615,ORCHPHARMA,0.69,0.42,0.24,0.55
616,KPIGREEN,0.79,0.85,0.72,0.79
617,VSTIND,0.92,0.77,0.94,0.93
618,FUSION,0.89,0.73,0.66,0.8
619,ICRA,0.94,0.7,1.0,0.97
620,PATELENG,0.95,0.91,0.96,0.96
621,STLTECH,0.85,0.6,0.62,0.76
622,MASFIN,0.97,0.93,0.9,0.94
623,IFBIND,0.95,0.93,0.95,0.95
624,CHOICEIN,0.85,0.74,0.93,0.86
625,SANSERA,0.87,0.79,0.85,0.86
626,RSYSTEMS,0.96,0.86,0.97,0.96
627,PRUDENT,0.79,0.71,0.8,0.79
628,ICIL,0.85,0.68,0.98,0.89
629,ORIENTCEM,0.92,0.86,0.95,0.93
630,RBA,0.91,0.7,0.9,0.9
631,GATEWAY,0.9,0.7,0.87,0.89
632,PURVA,0.94,0.93,0.96,0.94
633,GOKEX,0.97,0.9,0.97,0.97
634,SUPRAJIT,0.95,0.9,0.93,0.95
635,DBCORP,0.99,0.97,1.0,0.99
636,TEAMLEASE,0.99,0.98,0.98,0.98
637,AURIONPRO,0.96,0.97,0.94,0.96
638,NFL,0.95,0.95,0.95,0.95
639,VRLLOG,0.93,0.61,0.93,0.93
640,KESORAMIND,0.95,0.86,0.98,0.96
641,GALLANTT,0.89,0.81,0.99,0.9
642,GABRIEL,0.97,0.95,0.92,0.95
643,PRICOLLTD,0.98,1.0,0.95,0.97
644,HCG,0.97,0.84,1.0,0.98
645,AGI,0.88,0.76,0.79,0.85
