date,symbol,close,change,market cap,eps,ma50,diff50,ma200,diff200,industry
15th Feb,PATELENG,71.20,-0.628,5508.15,3.51,64.28,10.76,48.35,47.26,construction
15th Feb,STLTECH,137.70,3.69,5494.93,2.40,143.18,-3.83,151.27,-8.97,cables - telephone
15th Feb,MASFIN,1003.65,1.60,5486.16,43.53,929.27,8.00,848.74,18.25,finance & investments
15th Feb,IFBIND,1351.30,0.390,5475.30,7.02,1074.52,25.76,926.76,45.81,domestic appliances
15th Feb,CHOICEIN,546.95,0.932,5442.81,12.24,500.71,9.23,414.11,32.08,finance & investments
15th Feb,SANSERA,1015.25,0.376,5440.30,32.87,999.63,1.56,910.16,11.55,auto ancillaries
15th Feb,RSYSTEMS,459.50,-0.970,5436.04,11.47,520.98,-11.80,456.96,0.557,computers - software - medium / small
15th Feb,PRUDENT,1308.50,0.080,5418.06,32.71,1251.55,4.55,1135.63,15.22,finance & investments
15th Feb,ICIL,273.40,1.86,5414.81,17.20,285.08,-4.10,240.78,13.55,textiles - cotton/blended
15th Feb,ORIENTCEM,263.30,2.41,5394.19,8.50,262.70,0.227,192.69,36.64,cement - south india
15th Feb,RBA,108.20,2.95,5370.61,-4.16,115.61,-6.41,115.05,-5.95,hotels
15th Feb,GATEWAY,107.20,-2.23,5356.18,5.38,107.86,-0.613,87.91,21.95,miscellaneous
15th Feb,PURVA,225.40,-0.639,5345.35,3.19,214.43,5.11,137.62,63.79,construction
15th Feb,GOKEX,878.75,0.503,5329.75,22.09,886.26,-0.848,700.27,25.49,textiles - products
15th Feb,SUPRAJIT,384.60,-0.195,5324.18,10.77,388.68,-1.05,394.54,-2.52,auto ancillaries
15th Feb,DBCORP,298.55,4.99,5316.72,19.33,287.19,3.95,232.17,28.59,entertainment / electronic media software
15th Feb,TEAMLEASE,3144.45,2.72,5272.90,64.28,2979.66,5.53,2555.42,23.05,miscellaneous
15th Feb,AURIONPRO,2140.20,3.20,5264.93,55.29,2182.67,-1.95,1408.29,51.97,computers - software - medium / small
15th Feb,NFL,107,8.24,5249.19,2.22,100.38,6.60,78.49,36.32,fertilizers
15th Feb,VRLLOG,597.45,-2.37,5225.81,29.56,717.68,-16.75,700.81,-14.75,miscellaneous
15th Feb,KESORAMIND,168.05,0.508,5220.70,-5.33,168.59,-0.319,103.84,61.84,cement - north india
15th Feb,GALLANTT,213.30,5.00,5146.52,8.19,170.77,24.91,101.57,110.01,steel - medium / small
15th Feb,GABRIEL,357.25,0.351,5131.68,11.37,391.25,-8.69,297.22,20.20,auto ancillaries
15th Feb,PRICOLLTD,416.60,-1.28,5077.58,10.58,378.32,10.12,311.28,33.83,auto ancillaries
15th Feb,HCG,362.80,-1.04,5053.05,2.53,363.22,-0.115,343.87,5.51,healthcare
15th Feb,AGI,778.25,-0.854,5035.07,45.67,834.93,-6.79,759.82,2.43,packaging
15th Feb,SULA,596.45,-0.592,5034.02,11.14,567.25,5.15,491.34,21.39,breweries & distilleries
15th Feb,WONDERLA,889.80,0.469,5033.89,30.12,869.53,2.33,713.82,24.65,recreation / amusement parks
15th Feb,BANCOINDIA,699.20,1.25,5000.58,35.55,650.00,7.57,467.86,49.45,auto ancillaries
15th Feb,ASHOKA,176.25,2.20,4947.75,11.55,156.92,12.32,117.91,49.48,engineering - turnkey services
15th Feb,HEIDELBERG,217.45,1.21,4927.70,6.82,224.93,-3.33,192.58,12.92,cement - north india
15th Feb,AARTIDRUGS,535.95,0.196,4927.26,19.53,511.18,4.85,509.32,5.23,pharmaceuticals - indian - bulk drugs
15th Feb,TIMETECHNO,216.10,-0.575,4903.94,12.45,179.46,20.42,146.12,47.89,plastics products
15th Feb,GHCL,511.85,-1.14,4899.63,94.62,572.50,-10.59,552.80,-7.41,chemicals
15th Feb,WELENT,351.90,1.00,4870.78,25.84,337.69,4.21,268.24,31.19,construction
15th Feb,DHANUKA,1059.25,1.26,4827.88,53.75,1107.01,-4.31,871.40,21.56,pesticides / agrochemicals - indian
15th Feb,GRWRHITECH,2077.50,9.08,4826.53,81.16,1562.14,32.99,1199.87,73.14,packaging
15th Feb,JKIL,635.40,0.221,4807.79,40.02,569.80,11.51,415.75,52.83,construction
15th Feb,RALLIS,247.15,1.15,4806.30,5.19,255.66,-3.33,222.88,10.89,pesticides / agrochemicals - indian
15th Feb,PRIVISCL,1230.10,-0.614,4805.10,12.48,1213.52,1.37,1170.22,5.12,chemicals
15th Feb,GENSOL,1267.20,10,4799.25,26.97,877.89,44.35,NaN,NaN,miscellaneous
15th Feb,IIFLSEC,156.05,2.56,4794.54,13.73,149.65,4.28,96.12,62.35,finance & investments
15th Feb,PGEL,1841.85,3.98,4793.35,45.23,2170.13,-15.13,1857.71,-0.854,electronics - components
15th Feb,SANGHVIMOV,1099.40,0.096,4759.08,40.24,844.12,30.24,666.22,65.02,miscellaneous
15th Feb,TARC,161.05,-0.494,4752.53,-0.800,148.18,8.68,96.83,66.33,construction
15th Feb,BAJAJHIND,37.20,0.677,4751.78,-0.370,29.64,25.49,23.81,56.26,sugar
15th Feb,AARTIPHARM,520.45,2.78,4716.63,21.47,508.56,2.34,418.88,24.25,pharmaceuticals - indian - bulk drugs & formln
15th Feb,TIIL,2048.85,-5.29,4704.51,111.62,2423.91,-15.47,2000.58,2.41,steel - medium / small
15th Feb,FEDFINA,126.30,2.77,4659.93,6.58,136.31,-7.35,NaN,NaN,finance & investments
15th Feb,NOCIL,279.60,4.29,4659.41,7.19,268.07,4.30,235.89,18.53,chemicals
15th Feb,IPL,404,6.29,4652.61,7.81,374.96,7.74,282.53,43.00,pesticides / agrochemicals - indian
15th Feb,DYNAMATECH,6812.70,1.76,4626.81,122.81,5568.31,22.35,4299.24,58.46,engineering
